"[PPT] Tutorial on- Record in SE/P.Way's curve register, checking of ... - iricen","ftp://www.iricen.gov.in/zrti/ZRTI%2520Track%2520Module/P.Way%2520Induction/Phase-2/P%252009%2520CURVES/1_HORIZONTAL%2520CURVES/1.2_Tutorial%2520on%2520Record%2520in%2520curve%2520register,%2520checking%2520of%2520versine%2520in%2520turnout%2520and%2520turn-in-curve.pptx"
[PPT] Versine Fed in Front Tower of Track Machine V - iricen,ftp://www.iricen.gov.in/21903%2520Mechanized%2520Tamping%2520(OL-BN)/PSU-%2520Lining.pptx
[PPT] Track Monitoring,https://122.252.248.171/iricen/Presentation/Track/Track%2520Monitoring.pptx
