[PPT] include <fstream> using namespace std; int main () { ifstream ifs,https://www.cse.wustl.edu/~cdgill/courses/cse232/C%2B%2B_io_manipulation.ppt
"[PPT] using namespace std; cout << “hello, world!” << endl",https://www.cse.wustl.edu/~cdgill/courses/cse332/C%2B%2B_strings_arrays_vectors_io.ppt
