ftp://ftp.dot.wi.gov/dtsd/nw-region/nw-projects/15...,ftp://ftp.dot.wi.gov/dtsd/nw-region/nw-projects/15603100/hazmat/15603100/Former%2520Coal%2520Shed%2520Photos_Sites%252011%2520%26%252012/Former%2520Coal%2520Shed%2520South_Site%252011/AECOM%2520SendFiles%2520Notification%2520Kyle%2520Wagoner%2520has%2520sent%2520you%2520files.txt
https://archives.lib.state.ma.us/bitstream/handle/...,https://archives.lib.state.ma.us/bitstream/handle/2452/85007/1890acts0433.txt%3Fsequence%3D1%26isAllowed%3Dy
Boon Lake Township Time Line - USGenWeb Archives,http://files.usgwarchives.net/mn/renville/history/boonlake.txt
"Minooka News March 2, 1905",http://files.usgwarchives.net/il/grundy/newspapers/19050302.txt
https://oneida.nygenweb.net/towns/western/1907resi...,https://oneida.nygenweb.net/towns/western/1907residents.txt
https://www.familysearch.org/service/records/stora...,https://www.familysearch.org/service/records/storage/das-mem/patron/v2/TH-301-44994-135-45/dist.txt%3Fctx%3DArtCtxPublic
https://www.familysearch.org/service/records/stora...,https://www.familysearch.org/service/records/storage/das-mem/patron/v2/TH-904-63910-1243-43/dist.txt%3Fctx%3DArtCtxPublic
38998-8.txt - Project Gutenberg,https://www.gutenberg.org/files/38998/38998-8.txt
Wuthering Heights - Project Gutenberg,https://www.gutenberg.org/files/768/old/wuthr10.txt
https://nebnewspapers.unl.edu/lccn/2010270501/1913...,https://nebnewspapers.unl.edu/lccn/2010270501/1913-01-02/ed-1/seq-2/ocr.txt
https://ufdcimages.uflib.ufl.edu/UF/00/07/41/03/00...,https://ufdcimages.uflib.ufl.edu/UF/00/07/41/03/00007/01399.txt
0400291.txt - Project Gutenberg Australia,http://gutenberg.net.au/ebooks04/0400291.txt
https://oregonnews.uoregon.edu/lccn/sn88086023/190...,https://oregonnews.uoregon.edu/lccn/sn88086023/1907-08-05/ed-1/seq-2/ocr.txt
saublesewer.devuna.com/Documents/20120117%20Counci...,http://saublesewer.devuna.com/Documents/20120117%2520Council%2520and%2520Planning%2520Part%25202.txt
www.seattlescrabble.org/data/ThemeLists/oil.txt,http://www.seattlescrabble.org/data/ThemeLists/oil.txt
colesm-notforexport - Gutenberg Canada,https://gutenberg.ca/ebooks/colesm-notforexport/colesm-notforexport-00-t.txt
0001341004-20-000153.txt - SEC.gov,https://www.sec.gov/Archives/edgar/data/929058/000134100420000153/0001341004-20-000153.txt
pp.txt,http://www.dickens.jp/etexts/dickens/novels/pp.txt
www.dickens.jp/etexts/dickens/others/sonota/tulrum...,http://www.dickens.jp/etexts/dickens/others/sonota/tulrumble.txt
English.txt - SLU Math,https://mathstat.slu.edu/~chambers/spring12/150/homework/English.txt
dictionary.txt - Washington,https://courses.cs.washington.edu/courses/cse143e/22wi/take-home-assessments/a4/files/dictionary.txt
"Full text of ""The Black diamond"" - Internet Archive",https://archive.org/stream/blackdiamond33unse/blackdiamond33unse_djvu.txt
"History of Manchester, Part II",http://www.nh.searchroots.com/documents/Hillsborough/History_Manchester_NH2.txt
Jackson_ku_0099D_11654_DA... - KU ScholarWorks,https://kuscholarworks.ku.edu/bitstream/1808/8134/2/Jackson_ku_0099D_11654_DATA_1.pdf.txt
www.grosse.is-a-geek.com/pcplus/hd263sd/files/hexd...,http://www.grosse.is-a-geek.com/pcplus/hd263sd/files/hexdicts/oizqhsglpabcdef_wordlist.txt
1934 - WYGenWeb Project,http://wygenweb.com/sweetwater/vitals/Obits1934.txt
words.txt - Computer Science & Engineering,http://www.cse.uaa.alaska.edu/~afkjm/csce201/spring2022/homeworks/hw4files/words.txt
